[326]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635394
[327]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635428
[328]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635464
[329]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.635482
[330]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.63551
[331]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.635912
[332]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.635971
[333]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636023
[334]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.635998
[335]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636048
[336]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636082
[337]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.635864
[338]   valid_0's ndcg@1: 0.506745      valid_0's error: 0.635779
[339]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.63562
[340]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.635659
[341]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635559
[342]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635507
[343]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.635483
[344]   valid_0's ndcg@1: 0.506053      valid_0's error: 0.635454
[345]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.635551
[346]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.635762
[347]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.635809
[348]   valid_0's ndcg@1: 0.50663       valid_0's error: 0.635888
[349]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635761
[350]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635706
[351]   valid_0's ndcg@1: 0.50663       valid_0's error: 0.63581
[352]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635711
[353]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636027
[354]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636133
[355]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636126
[356]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636211
[357]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636182
[358]   valid_0's ndcg@1: 0.507206      valid_0's error: 0.636205
[359]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636035
[360]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636046
[361]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636131
[362]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636179
[363]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.636242
[364]   valid_0's ndcg@1: 0.507552      valid_0's error: 0.636302
[365]   valid_0's ndcg@1: 0.507783      valid_0's error: 0.636486
[366]   valid_0's ndcg@1: 0.507783      valid_0's error: 0.63647
[367]   valid_0's ndcg@1: 0.507783      valid_0's error: 0.636524
[368]   valid_0's ndcg@1: 0.507898      valid_0's error: 0.636537
[369]   valid_0's ndcg@1: 0.507898      valid_0's error: 0.636539
[370]   valid_0's ndcg@1: 0.507898      valid_0's error: 0.636528
[371]   valid_0's ndcg@1: 0.507898      valid_0's error: 0.636575
[372]   valid_0's ndcg@1: 0.508129      valid_0's error: 0.63666
[373]   valid_0's ndcg@1: 0.508244      valid_0's error: 0.636736
[374]   valid_0's ndcg@1: 0.508359      valid_0's error: 0.63686
[375]   valid_0's ndcg@1: 0.508244      valid_0's error: 0.636806
[376]   valid_0's ndcg@1: 0.507898      valid_0's error: 0.636622
[377]   valid_0's ndcg@1: 0.508129      valid_0's error: 0.636713
[378]   valid_0's ndcg@1: 0.508013      valid_0's error: 0.636656
[379]   valid_0's ndcg@1: 0.507667      valid_0's error: 0.636518
[380]   valid_0's ndcg@1: 0.507552      valid_0's error: 0.636512
[381]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636366
[382]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.636414
[383]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.636529
[384]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.636445
[385]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.63637
[386]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.636349
[387]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.63643
[388]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.63645
[389]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.636398
[390]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.636376
[391]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636332
[392]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.636403
[393]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636363
[394]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636352
[395]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636336
[396]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.636304
[397]   valid_0's ndcg@1: 0.507206      valid_0's error: 0.636505
[398]   valid_0's ndcg@1: 0.507552      valid_0's error: 0.636631
[399]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.636596
